name,link,rating,enroll,instructor,time,levelrequirement,skillrequirement,SkillWillLearn,SkillGain,Subject,organization,fee,program,RelationInsOrg,Subtitle
Excel Basics for Data Analysis,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,4.8,"66,437","Sandip Saha Joy,Steve Ryan",12 hours,Beginner,,The fundamentals of spreadsheet applications. How to perform basic spreadsheet tasks. About the importance of data quality. How to import file data into Excel,Data Science          Spreadsheet          Microsoft Excel          Data Analysis          Pivot Table      ,Data Science,IBM,Enroll for Free,,"Sandip Saha Joy work for IBM,Steve Ryan work for IBM, SkillUP","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
"ETL and Data Pipelines with Shell, Airflow and Kafka",https://www.coursera.org/learn/etl-and-data-pipelines-shell-airflow-kafka,4.8,"2,936","Yan Luo,Jeff Grossman,Sabrina Spillner,Ramesh Sannareddy",13 hours,Beginner,,"Describe and contrast Extract, Transform, Load (ETL) processes and Extract, Load, Transform (ELT) processes. Explain batch vs concurrent modes of execution. Describe how shell scripting can be used to implement an ETL pipeline. Describe data pipeline components, processes, tools, and technologies.","Extraction, Transformation And Loading (ETL)          Apache Kafka          Apache Airflow          Data Pipelines      ",Information Technology,IBM,Enroll for Free,,"Yan Luo work for IBM,Jeff Grossman work for IBM,Sabrina Spillner work for IBM,Ramesh Sannareddy work for IBM",English
Ethical Issues in Data Science,https://www.coursera.org/learn/ethical-issues-data-science,4.4,,Bobby Schnabel,23 hours,Beginner,No specific background necessary.,Learners will be able to Identify and manage ethical situations that may arise in their careers. Learnerrs will be able to apply ethical frameworks to help them analyze ethical challenges. Learners will be familiar with key applications of data science that are commonly  linked to ethical issues.,Data Science          Ethics          Algorithms          Privacy          Philosophy      ,Data Science,University of Colorado Boulder,Enroll for Free,Vital Skills for Data Science Specialization,Bobby Schnabel work for University of Colorado Boulder,English
Communicate Effectively about Ethical Challenges in Data-Driven Technologies,https://www.coursera.org/learn/ethical-communication-data-driven-technologies,4.4,"3,008","Renée Cummings,Jennifer Fischer,Megan Smith Branch",14 hours,Beginner,General business knowledge. ,"Develop inclusive strategies to clearly communicate the business impacts of ethical risks to diverse stakeholders. Design communication strategies that are diverse, equitable, and inclusive. Design a crisis communication plan to manage internal and external stakeholders during an ethical controversy.",Marketing          Business Strategy          Leadership And Management          Communication          Crisis Management      ,Data Science,CertNexus,Enroll for Free,CertNexus Certified Ethical Emerging Technologist Professional Certificate,"Renée Cummings work for CertNexus,Jennifer Fischer work for CertNexus,Megan Smith Branch work for CertNexus",English
Create and Lead an Ethical Data-Driven Organization,https://www.coursera.org/learn/ethical-data-driven-technology-leader,4.5,"2,951","Aaron Hui,Abhishek Gupta,Megan Smith Branch",13 hours,Beginner,General business knowledge. ,"Lead an applied ethics initiative, and champion its crucial importance. Promote an ethical organizational culture.  Develop and implement ethical organizational policies and a code of ethics. Evaluate the effectiveness of a code of ethics with internal and external stakeholders.",Code of Ethics          policy          Ethical Leadership          Ethics Of Artificial Intelligence          governance      ,Data Science,CertNexus,Enroll for Free,CertNexus Certified Ethical Emerging Technologist Professional Certificate,"Aaron Hui work for CertNexus,Abhishek Gupta work for CertNexus,Megan Smith Branch work for CertNexus",English
Enterprise Database Migration,https://www.coursera.org/learn/enterprise-database-migration,,"2,078",Google Cloud Training,19 hours,Intermediate,,"Plan, execute, test, and monitor simple and complex enterprise database migrations to Google Cloud.  Choose an appropriate Google Cloud database, migrate SQL Server databases and run Oracle databases on Google Cloud bare metal. Recognize and overcome the challenges of moving data to prevent data loss, preserve data integrity, and minimize downtime. Evaluate on-premises database architectures and plan migrations. Make the business case for moving databases to Google Cloud.",,Information Technology,Google Cloud,Enroll for Free,,Google Cloud Training work for Google Cloud,Subtitles: English
Amazon DynamoDB: Building NoSQL Database-Driven Applications,https://www.coursera.org/learn/dynamodb-nosql-database-driven-apps,4.7,"10,277","Seph Robinson,Morgan Willis",10 hours,Intermediate,,"How NoSQL databases differ from relational databases. How to provision, manage and interact with a DynamoDB table. How to secure a DynamoDB database",NoSQL Database          Cryptography          Workload          security          Recovery      ,Information Technology,Amazon Web Services,Enroll for Free,,"Seph Robinson work for Amazon Web Services,Morgan Willis work for Amazon Web Services","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Web Application Technologies and Django,https://www.coursera.org/learn/django-database-web-apps,4.7,"57,056",Charles Russell Severance,15 hours,Intermediate,,Explain the basics of HTTP and how the request-response cycle works. Install and deploy a simple DJango application. Build simple web pages in HTML and style them using CSS. Explain the basic operations in SQL,Cascading Style Sheets (CCS)          Html          Hypertext Transfer Protocol (HTTP)          SQL          Django (Web Framework)      ,Computer Science,University of Michigan,Enroll for Free,Django for Everybody Specialization,Charles Russell Severance work for University of Michigan,"Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
"Developing Applications with SQL, Databases, and Django ",https://www.coursera.org/learn/developing-applications-with-sql-databases-and-django,4.5,"4,370","Yan Luo,Rav Ahuja",15 hours,Intermediate,"Knowledge of GitHub, HTML & CSS, Python","Describe a database and how to model data. Compose SQL queries to insert, select, update, and delete data in a database.. Understand Object Relational Model (ORM). Integrate Bootstrap into your Django template and build interactive web pages.",Django (Web Framework)          Database (DBMS)          Cloud Applications          SQL      ,Information Technology,IBM,Enroll for Free,IBM Full Stack Cloud Developer Professional Certificate,"Yan Luo work for IBM,Rav Ahuja work for Coursera, IBM",English
Serverless Data Processing with Dataflow: Develop Pipelines,https://www.coursera.org/learn/developing-pipelines-on-dataflow,4,,Google Cloud Training,19 hours,Advanced,,"In this second installment of the Dataflow course series, we are going to be diving deeper on developing pipelines using the Beam SDK. We start with a review of Apache Beam concepts. Next, we discuss processing streaming data using windows, watermarks and triggers. We then cover options for sources and sinks in your pipelines, schemas to express your structured data, and how to do stateful transformations using State and Timer APIs. We move onto reviewing best practices that help maximize your pipeline performance. Towards the end of the course, we introduce SQL and Dataframes to represent your business logic in Beam and how to iteratively develop pipelines using Beam notebooks.",,Data Science,Google Cloud,Enroll for Free,Serverless Data Processing with Dataflow Specialization,Google Cloud Training work for Google Cloud,Subtitles: English
Design Thinking and Predictive Analytics for Data Products,https://www.coursera.org/learn/design-thinking-predictive-analytics-data-products,4.5,"7,810","Julian McAuley,Ilkay Altintas",8 hours,Intermediate,,"This is the second course in the four-course specialization Python Data Products for Predictive Analytics, building on the data processing covered in Course 1 and introducing the basics of designing predictive models in Python. In this course, you will understand the fundamental concepts of statistical learning and learn various methods of building predictive models. At each step in the specialization, you will gain hands-on experience in data manipulation and building your skills, eventually culminating in a capstone project encompassing all the concepts taught in the specialization.",,Data Science,University of California San Diego,Enroll for Free,Python Data Products for Predictive Analytics Specialization,"Julian McAuley work for University of California San Diego,Ilkay Altintas work for University of California San Diego","Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Data Visualization,https://www.coursera.org/learn/datavisualization,4.5,"106,764",John C. Hart,15 hours,,,"Learn the general concepts of data mining along with basic methodologies and applications. Then dive into one subfield in data mining: pattern discovery. Learn in-depth concepts, methods, and applications of pattern discovery in data mining. We will also introduce methods for pattern-based classification and some interesting applications of pattern discovery. This course provides you the opportunity to learn skills and content to practice and engage in scalable pattern discovery methods on massive transactional data, discuss pattern evaluation measures, and study methods for mining diverse kinds of patterns, sequential patterns, and sub-graph patterns.",Data Visualization Software          Tableau Software          Data Virtualization          Data Visualization (DataViz)      ,Data Science,University of Illinois at Urbana-Champaign,Enroll for Free,Data Mining  Specialization,John C. Hart work for University of Illinois at Urbana-Champaign,"Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, Korean, German, Russian, English, Spanish"
Essential Design Principles for Tableau,https://www.coursera.org/learn/dataviz-design,4.5,"44,724","Govind Acharya,Hunter Whitney",13 hours,Beginner,Comfortable working with data and datasets.,Examine and improve an ineffective visualization.  Examine and improve an ineffective visualization.  Apply visualization best practices.  Create and design visualizations that work best for the target audience,Data Analysis          Tableau Software          Data Virtualization          Data Visualization (DataViz)      ,Data Science,"University of California, Davis",Enroll for Free,Data Visualization with Tableau Specialization,"Govind Acharya work for University of California, Davis,Hunter Whitney work for University of California, Davis","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Data Visualization with Tableau Project,https://www.coursera.org/learn/dataviz-project,4.6,"21,711","Suk S. Brar, M.B.A.,Hunter Whitney",12 hours,Intermediate, Familiar with Tableau and comfortable working with data and datasets.      ,Develop a project proposal.  Assess the quality of the data and perform exploratory analysis.  Create KPIs and dashboards and assess your analysis.  Create your data story and write a narrative to accompany your visualization,Data Analysis          Interactive Visualization          Tableau Software          Data Visualization (DataViz)      ,Data Science,"University of California, Davis",Enroll for Free,Data Visualization with Tableau Specialization,"Suk S. Brar, M.B.A. work for University of California, Davis,Hunter Whitney work for University of California, Davis","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Visual Analytics with Tableau,https://www.coursera.org/learn/dataviz-visual-analytics,4.6,"40,234","Suk S. Brar, M.B.A.",9 hours,Beginner, Must be comfortable working with data and datasets.  ,Create a chart using Tableau.  Create dates using calculated fields.  Customize table calculations.  Customize and create dual layer maps,Visual Analytics          Map          Tableau Software          Data Visualization (DataViz)      ,Data Science,"University of California, Davis",Enroll for Free,Data Visualization with Tableau Specialization,"Suk S. Brar, M.B.A. work for University of California, Davis","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Creating Dashboards and Storytelling with Tableau,https://www.coursera.org/learn/dataviz-dashboards,4.6,"37,540","Govind Acharya,Hunter Whitney",15 hours,Beginner,Familiar with Tableau and comfortable working with data and datasets.    ,Combine the data and follow the best practices to present your story.  Create calculated fields for KPIs to build a figure that will be used to measure progress in the data. Assemble a dashboard.  Analyze concepts and techniques for compelling storytelling with data,Storyboarding          Tableau Software          Data Virtualization          Data Visualization (DataViz)      ,Data Science,"University of California, Davis",Enroll for Free,Data Visualization with Tableau Specialization,"Govind Acharya work for University of California, Davis,Hunter Whitney work for University of California, Davis","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
"Data Wrangling, Analysis and AB Testing with SQL",https://www.coursera.org/learn/data-wrangling-analysis-abtesting,3.5,"30,012",Katrina Glaeser,16 hours,Intermediate,Some statistics is recommended and at least 2-years business experience.,Validate and clean a dataset. Assess and create datasets to answer your questions. Solve problems using SQL. Build a simple testing framework to touch on AB Testing,A/B Testing          Query String          Data Analysis          Predictive Analytics          SQL      ,Data Science,"University of California, Davis",Enroll for Free,Learn SQL Basics for Data Science Specialization,"Katrina Glaeser work for University of California, Davis","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Data Science in Stratified Healthcare and Precision Medicine,https://www.coursera.org/learn/datascimed,4.6,"16,288","Dr Areti Manataki,Dr Frances Wong",17 hours,Intermediate,,"An increasing volume of data is becoming available in biomedicine and healthcare, from genomic data, to electronic patient records and data collected by wearable devices. Recent advances in data science are transforming the life sciences, leading to precision medicine and stratified healthcare.  In this course, you will learn about some of the different types of data and computational methods involved in stratified healthcare and precision medicine. You will have a hands-on experience of working with such data. And you will learn from leaders in the field about successful case studies. Topics include: (i) Sequence Processing, (ii) Image Analysis, (iii) Network Modelling, (iv) Probabilistic Modelling, (v) Machine Learning, (vi) Natural Language Processing, (vii) Process Modelling and (viii) Graph Data.Watch the course promo video here: http://edin.ac/2pn350P",Data Science          Python Programming          Machine Learning          Image Analysis      ,Data Science,The University of Edinburgh,Enroll for Free,,"Dr Areti Manataki work for The University of Edinburgh,Dr Frances Wong work for The University of Edinburgh","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Data Science at Scale - Capstone Project,https://www.coursera.org/learn/datasci-capstone,4.1,"2,239",Bill Howe,6 hours,,,"In the capstone, students will engage on a real world project requiring them to apply skills from the entire data science pipeline: preparing, organizing, and transforming data, constructing a model, and evaluating results. Through a collaboration with Coursolve, each Capstone project is associated with partner stakeholders who have a vested interest in your results and are eager to deploy them in practice. These projects will not be straightforward and the outcome is not prescribed -- you will need to tolerate ambiguity and negative results!. But we believe the experience will be rewarding and will better prepare you for data science projects in practice.",Python Programming          R Programming          Data Analysis          Data Wrangling          Statistics      ,Data Science,University of Washington,Enroll for Free,Data Science at Scale Specialization,Bill Howe work for University of Washington,English
Database Management Essentials,https://www.coursera.org/learn/database-management,4.6,"160,973",Michael Mannino,36 hours,Intermediate,,"Database Management Essentials provides the foundation you need for a career in database development, data warehousing, or business intelligence, as well as for the entire Data Warehousing for Business Intelligence specialization. In this course, you will create relational databases, write SQL statements to extract information to satisfy business reporting requests, create entity relationship diagrams (ERDs) to design databases, and analyze table designs for excessive redundancy. As you develop these skills, you will use either Oracle, MySQL, or PostgreSQL to execute SQL statements and a database diagramming tool such as the ER Assistant or Visual Paradigm to create ERDs. We’ve designed this course to ensure a common foundation for specialization learners. Everyone taking the course can jump right in with writing SQL statements in Oracle, MySQL, or PostgreSQL.",Database (DB) Design          Entity–Relationship (E-R) Model          Database (DBMS)          SQL      ,Computer Science,University of Colorado System,Enroll for Free,Data Warehousing for Business Intelligence Specialization,Michael Mannino work for University of Colorado System,"Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, Korean, German, Russian, English, Spanish"
Database Design and Basic SQL in PostgreSQL,https://www.coursera.org/learn/database-design-postgresql,4.8,"10,016",Charles Russell Severance,14 hours,Intermediate,Completion of the first two courses in the Python for Everybody specialization or an equivalent basic understanding of Python,"Utilize psql and SQL commands to implement CRUD (Create, Read, Update, and Delete) operations for tables in a PostgreSQL database. Identify and utilize the functions of primary, logical, and foreign keys within a database.  Build and differentiate between one-to-many and many-to-many relationships within PostgreSQL. Recall key people, organizations, and innovations that were instrumental to building the SQL standard",,Computer Science,University of Michigan,Enroll for Free,PostgreSQL for Everybody Specialization,Charles Russell Severance work for University of Michigan,Subtitles: English
"Database Architecture, Scale, and NoSQL with Elasticsearch",https://www.coursera.org/learn/database-architecture-scale-nosql-elasticsearch-postgresql,4.3,"2,351",Charles Russell Severance,10 hours,Intermediate,Completion of first two courses in the Python for Everybody specialization or an equivalent basic understanding of Python,Understand PostgreSQL architecture; analyze and compare SQL and NoSQL. Compare and contrast ACID and BASE style architectures and databases. Create and utilize an Elasticsearch index in different contexts,,Computer Science,University of Michigan,Enroll for Free,PostgreSQL for Everybody Specialization,Charles Russell Severance work for University of Michigan,Subtitles: English
Data Science Math Skills,https://www.coursera.org/learn/datasciencemathskills,4.5,"289,819","Daniel Egger,Paul Bendich",13 hours,Beginner,,"Data science courses contain math—no avoiding that! This course is designed to teach learners the basic math you will need in order to be successful in almost any data science math course and was created for learners who have basic math skills but may not have taken algebra or pre-calculus. Data Science Math Skills introduces the core math that data science is built upon, with no extra complexity, introducing unfamiliar ideas and math symbols one-at-a-time.  Learners who complete this course will master the vocabulary, notation, concepts, and algebra rules that all data scientists must know before moving on to more advanced material.Topics include:~Set theory, including Venn diagrams~Properties of the real number line~Interval notation and algebra with inequalities~Uses for summation and Sigma notation~Math on the Cartesian (x,y) plane, slope and distance formulas~Graphing and describing functions and their inverses on the x-y plane,~The concept of instantaneous rate of change and tangent lines to a curve~Exponents, logarithms, and the natural log function.~Probability theory, including Bayes’ theorem.While this course is intended as a general introduction to the math skills needed for data science, it can be considered a prerequisite for learners interested in the course, ""Mastering Data Analysis in Excel,"" which is part of the Excel to MySQL Data Science Specialization. Learners who master Data Science Math Skills will be fully prepared for success with the more advanced math concepts introduced in ""Mastering Data Analysis in Excel."" Good luck and we hope you enjoy the course!",Bayes' Theorem          Bayesian Probability          Probability          Probability Theory      ,Math and Logic,Duke University,Enroll for Free,,"Daniel Egger work for Duke University,Paul Bendich work for Duke University","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Building Database Applications in PHP,https://www.coursera.org/learn/database-applications-php,4.9,"39,477",Charles Russell Severance,24 hours,Intermediate,,"In this course, we'll look at the object oriented patterns available in PHP. You'll learn how to connect to a MySQL using the Portable Data Objects (PDO) library and issue SQL commands in the the PHP language. We'll also look at how PHP uses cookies and manages session data. You'll learn how PHP avoids double posting data, how flash messages are implemented, and how to use a session to log in users in web applications. We'll then build the first 'complete' application that has multiple screens to Create, Read, Update and Delete (CRUD) our data. This brings all the previous concepts together and will form the basis for all later web applications. It is assumed that learners have already taken the Building Web Applications course in this specialization.","Hypertext Preprocessor (PHP)          Create, Read, Update And Delete          MySQL      ",Computer Science,University of Michigan,Enroll for Free,Web Applications for Everybody Specialization,Charles Russell Severance work for University of Michigan,"Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish"
Modern Data Warehouse Analytics in Microsoft Azure,https://www.coursera.org/learn/data-warehouse-analytics-microsoft-azure,4.5,, Microsoft,4 hours,Beginner,"Successful students should start with some basic awareness of computing and Internet concepts, and an interest in extracting insights from data. ","Processing options for building data analytics solutions in Azure. You will explore Azure Synapse Analytics, Azure Databricks, and Azure HDInsight.",Describe data ingestion and processing on Azure          Describe the components of a modern data warehouse          Describe data visualization in Microsoft Power BI          Describe analytics workloads      ,Information Technology,Microsoft,Enroll for Free,Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization, Microsoft work for Microsoft,English
Fundamentals of Visualization with Tableau,https://www.coursera.org/learn/data-visualization-tableau,4.5,"139,052",Desiree' Abbott,11 hours,Beginner,Must be comfortable working with data and datasets.,Install Tableau Public Software and create a visualization.  Examine and navigate the Tableau Public workspace.  Practice and connect to different data sources.  Examine ways to define your project,Tableau Software          Data Virtualization          Data Visualization (DataViz)          Visualization (Computer Graphics)      ,Data Science,"University of California, Davis",Enroll for Free,Data Visualization with Tableau Specialization,"Desiree' Abbott work for University of California, Davis","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Publishing Visualizations in R with Shiny and flexdashboard,https://www.coursera.org/learn/data-viz-shiny-dashboards,4.9,"1,961",Collin Paschall,12 hours,,,"Data visualization is a critical skill for anyone that routinely using quantitative data in his or her work - which is to say that data visualization is a tool that almost every worker needs today. One of the critical tools for data visualization today is the R statistical programming language. Especially in conjunction with the tidyverse software packages, R has become an extremely powerful and flexible platform for making figures, tables, and reproducible reports. However, R can be intimidating for first time users, and there are so many resources online that it can be difficult to sort through without guidance. This course is the fourth in the Specialization ""Data Visualization and Dashboarding in R."" Learners will come to this course with a strong background in making visualization in R using ggplot2. To build on those skills, this course covers creating interactive visualization using Shiny, as well as combining different kinds of figures made in R into interactive dashboards.",,Data Science,Johns Hopkins University,Enroll for Free,Data Visualization & Dashboarding with R Specialization,Collin Paschall work for Johns Hopkins University,Subtitles: English
3D Data Visualization for Science Communication,https://www.coursera.org/learn/data-visualization-science-communication,,"3,010","Kalina Borkiewicz,AJ Christensen",32 hours,Beginner,,"This course is an introduction to 3D scientific data visualization, with an emphasis on science communication and cinematic design for appealing to broad audiences. You will develop visualization literacy, through being able to interpret/analyze (read) visualizations and create (write) your own visualizations. By the end of this course, you will:-Develop visualization literacy.-Learn the practicality of working with spatial data.-Understand what makes a scientific visualization meaningful.-Learn how to create educational visualizations that maintain scientific accuracy.-Understand what makes a scientific visualization cinematic.-Learn how to create visualizations that appeal to broad audiences.-Learn how to work with image-making software. (for those completing the Honors track)",,Data Science,University of Illinois at Urbana-Champaign,Enroll for Free,,"Kalina Borkiewicz work for University of Illinois at Urbana-Champaign,AJ Christensen work for University of Illinois at Urbana-Champaign",Subtitles: English
Design and Build a Data Warehouse for Business Intelligence Implementation,https://www.coursera.org/learn/data-warehouse-bi-building,4.6,"8,335","Michael Mannino,Jahangir Karimi",13 hours,,,"The capstone course, Design and Build a Data Warehouse for Business Intelligence Implementation, features a real-world case study that integrates your learning across all courses in the specialization. In response to business requirements presented in a case study, you’ll design and build a small data warehouse, create data integration workflows to refresh the warehouse, write SQL statements to support analytical and summary query requirements, and use the MicroStrategy business intelligence platform to create dashboards and visualizations. In the first part of the capstone course, you’ll be introduced to a medium-sized firm, learning about their data warehouse and business intelligence requirements and existing data sources. You’ll first architect a warehouse schema and dimensional model for a small data warehouse. You’ll then create data integration workflows using Pentaho Data Integration to refresh your data warehouse. Next, you’ll write SQL statements for analytical query requirements and create materialized views to support summary data management. For data integration workflows and analytical queries, you can use either Oracle or PostgreSQL. Finally, you will use MicroStrategy OLAP capabilities to gain insights into your data warehouse. In the completed project, you’ll have built a small data warehouse containing a schema design, data integration workflows, analytical queries, materialized views, dashboards and visualizations that you’ll be proud to show to your current and prospective employers.",Data Warehousing          Microstrategy          Data Warehouse          SQL      ,Data Science,University of Colorado System,Enroll for Free,Data Warehousing for Business Intelligence Specialization,"Michael Mannino work for University of Colorado System,Jahangir Karimi work for University of Colorado System","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Data Visualization with R,https://www.coursera.org/learn/data-visualization-r,,"1,852","Yiwen Li,Tiffany Zhu,Saishruthi Swaminathan,Gabriela de Queiroz",10 hours,Beginner,,"Create basic bar charts, histograms, pie charts, scatter plots, line plots, box plots, and maps using Rand related packages. Customize charts and plots using themes and faceting. Create maps using the Leaflet package for R. Create interactive dashboards using the Shiny package for R.",Data Science          Data Analysis          Data Visualization (DataViz)          R Programming      ,Data Science,IBM,Enroll for Free,,"Yiwen Li work for IBM,Tiffany Zhu work for IBM,Saishruthi Swaminathan work for IBM,Gabriela de Queiroz work for IBM",English
Data Visualization and Dashboards with Excel and Cognos,https://www.coursera.org/learn/data-visualization-dashboards-excel-cognos,4.7,"27,985","Sandip Saha Joy,Kevin McFaul,Steve Ryan",9 hours,Beginner,,Basic Excel features to create charts and pivot charts. The important role charts play in telling a data-driven story. About creating advanced charts and visualizations. About the basics of dashboarding,Microsoft Excel          Data Analysis          Data Visualization (DataViz)          IBM Cognos Analytics          Dashboard      ,Data Science,IBM,Enroll for Free,,"Sandip Saha Joy work for IBM,Kevin McFaul work for IBM,Steve Ryan work for IBM, SkillUP","Arabic, French, Portuguese (European), Vietnamese, Russian, English, Spanish"
Data Management and Visualization,https://www.coursera.org/learn/data-visualization,4.4,"75,026",Lisa Dierker,12 hours,,,"Whether being used to customize advertising to millions of website visitors or streamline inventory ordering at a small restaurant, data is becoming more integral to success. Too often, we’re not sure how use data to find answers to the questions that will make us more successful in what we do. In this course, you will discover what data is and think about what questions you have that can be answered by the data – even if you’ve never thought about data before. Based on existing data, you will learn to develop a research question, describe the variables and their relationships, calculate basic statistics, and present your results clearly. By the end of the course, you will be able to use powerful data analysis tools – either SAS or Python – to manage and visualize your data, including how to deal with missing data, variable groups, and graphs. Throughout the course, you will share your progress with others to gain valuable feedback, while also learning how your peers use data to answer their own questions.",SAS Language          Data Analysis          Python Programming          Data Management      ,Data Science,Wesleyan University,Enroll for Free,Data Analysis and Interpretation Specialization,Lisa Dierker work for Wesleyan University,"Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish"
Data Structures and Design Patterns for Game Developers,https://www.coursera.org/learn/data-structures-design-patterns,4.6,"13,249","Dr. Tim ""Dr. T"" Chamillard",22 hours,Intermediate,,"This course is the fourth course in the specialization about learning how to develop video games using the C# programming language and the Unity game engine on Windows or Mac. Why use C# and Unity instead of some other language and game engine? Well, C# is a really good language for learning how to program and then programming professionally. Also, the Unity game engine is very popular with indie game developers; Unity games were downloaded 16,000,000,000 times in 2016! Finally, C# is one of the programming languages you can use in the Unity environment. This course assumes you have the prerequisite knowledge from the previous three courses in the specialization. You should make sure you have that knowledge, either by taking those previous courses or from personal experience, before tackling this course. The required prerequisite knowledge is listed in the ""Who this class is for"" section below. Throughout this course you'll build on your foundational C# and Unity knowledge by developing more robust games with better object-oriented designs using various data structures and design patterns.Data structures and design patterns are both general programming and software architecture topics that span all software, not just games. Although we'll discuss these ideas in the game domain, they also apply if you're writing a web app in ASP.NET, building a tool using WinForms, or any other software you decide to build. Module 1: Explore a Dynamic Array data structure and learn the basics of algorithm analysisModule 2: Learn about and use the common Linked List and Graph data structuresModule 3: Learn about and use several additional data structures: Stacks, Queues, and TreesModule 4: Learn why design patterns are so useful and discover a number of design patterns useful in game developmentModule 5: Complete final peer review“Unity” is a trademark or registered trademark of Unity Technologies or its affiliates in the U.S. and elsewhere.This course is an independent work and is not sponsored by, authorized by, or affiliated with Unity Technologies or its affiliates",,Computer Science,University of Colorado System,Enroll for Free,,"Dr. Tim ""Dr. T"" Chamillard work for Coursera, University of Colorado System","Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Data Visualization e manipolazione dei dati con Tableau,https://www.coursera.org/learn/data-visualization-manipolazione-tableau,,,Manuel Belgioioso,19 hours,Intermediate,Conoscenza degli strumenti base di Tableau,Combinare le fonti dati. Campi calcolati e parametri. Operazioni al livello della vista. Visualizzazioni geografiche,Visual Communication          Data Virtualization          Data Visualization (DataViz)          Visual Analytics          Tableau Software      ,Data Science,Università di Napoli Federico II,Enroll for Free,Data Visualization: Analisi dei dati con Tableau Specialization,Manuel Belgioioso work for Università di Napoli Federico II,Italian
Data Structures,https://www.coursera.org/learn/data-structures,4.6,"205,479","Alexander S. Kulikov,Michael Levin,Daniel M Kane,Neil Rhodes",25 hours,Intermediate,"Basic knowledge of at least one programming language: C++, Java, Python, C, C#, Javascript, Haskell, Kotlin, Ruby, Rust, Scala. ","A good algorithm usually comes together with a set of good data structures that allow the algorithm to manipulate the data efficiently. In this online course, we consider the common data structures that are used in various computational problems. You will learn how these data structures are implemented in different programming languages and will practice implementing them in our programming assignments. This will help you to understand what is going on inside a particular built-in implementation of a data structure and what to expect from it. You will also learn typical use cases for these data structures. A few examples of questions that we are going to cover in this class are the following:1. What is a good strategy of resizing a dynamic array?2. How priority queues are implemented in C++, Java, and Python?3. How to implement a hash table so that the amortized running time of all operations is O(1) on average?4. What are good strategies to keep a binary tree balanced? You will also learn how services like Dropbox manage to upload some large files instantly and to save a lot of storage space!",Binary Search Tree          Priority Queue          Hash Table          Stack (Abstract Data Type)          List      ,Computer Science,"University of California San Diego,HSE University",Enroll for Free,Data Structures and Algorithms Specialization,"Alexander S. Kulikov work for University of California San Diego, Saint Petersburg State University,Michael Levin work for University of California San Diego, HSE University,Daniel M Kane work for University of California San Diego,Neil Rhodes work for University of California San Diego","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Data Structures and Performance,https://www.coursera.org/learn/data-structures-optimizing-performance,4.8,"84,794","Christine Alvarado,Mia Minnes,Leo Porter",42 hours,Intermediate,,"How do Java programs deal with vast quantities of data? Many of the data structures and algorithms that work with introductory toy examples break when applications process real, large data sets. Efficiency is critical, but how do we achieve it, and how do we even measure it?. This is an intermediate Java course. We recommend this course to learners who have previous experience in software development or a background in computer science, and in particular, we recommend that you have taken the first course in this specialization (which also requires some previous experience with Java). In this course, you will use and analyze data structures that are used in industry-level applications, such as linked lists, trees, and hashtables. You will explain how these data structures make programs more efficient and flexible. You will apply asymptotic Big-O analysis to describe the performance of algorithms and evaluate which strategy to use for efficient data retrieval, addition of new data, deletion of elements, and/or memory usage.The program you will build throughout this course allows its user to manage, manipulate and reason about large sets of textual data. This is an intermediate Java course, and we will build on your prior knowledge. This course is designed around. the same video series as in our first course in this specialization, including explanations of core content, learner videos, student and engineer testimonials, and support videos -- to better allow you to choose your own path through the course!",Trees (Data Structures)          Data Structure          Linked List          Binary Tree      ,Computer Science,University of California San Diego,Enroll for Free,,"Christine Alvarado work for University of California San Diego,Mia Minnes work for University of California San Diego,Leo Porter work for University of California San Diego","Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish"
